REF #,Actual_Gender,Model_Predictions,Model_Probabilities
3789,MALE,MALE,0.8760060069276733
9029,FEMALE,FEMALE,0.2445598208724012
7484,FEMALE,FEMALE,0.23351056604755743
9485,FEMALE,MALE,0.5363315948823647
1986,MALE,MALE,0.9864449436172241
9308,FEMALE,FEMALE,0.1407144586712452
7269,FEMALE,MALE,0.6752040663316805
5510,FEMALE,FEMALE,0.47778719858119634
1199,MALE,MALE,0.9984219114219114
2109,MALE,MALE,0.9332582304514561
8105,MALE,MALE,0.909104877803172
7036,MALE,MALE,0.9032508846273611
5916,FEMALE,FEMALE,0.43612346232874843
8799,MALE,MALE,0.858883595718924
7851,FEMALE,FEMALE,0.2565539527076106
1308,FEMALE,FEMALE,0.4350099406590192
5789,FEMALE,FEMALE,0.425280444684442
11531,FEMALE,FEMALE,0.18871892229716103
7502,MALE,MALE,0.9432260782351309
1219,MALE,MALE,0.9403523898231987
6230,MALE,MALE,0.5721853519378586
3899,FEMALE,FEMALE,0.34118528069596094
4634,FEMALE,FEMALE,0.2852365716927151
7083,MALE,MALE,0.9160988754003404
4498,MALE,MALE,0.7031286975214356
277,MALE,MALE,0.8770423643293825
9067,FEMALE,FEMALE,0.2571209206661549
2673,MALE,MALE,0.9634152099247202
8411,MALE,FEMALE,0.29260730162213366
9011,MALE,MALE,0.6315294838771603
5446,FEMALE,FEMALE,0.4638724753282854
857,FEMALE,MALE,0.5587563658922006
9411,FEMALE,FEMALE,0.28368590425084633
2273,MALE,MALE,0.9837514512766745
10206,MALE,MALE,0.635719600588336
5812,FEMALE,FEMALE,0.28459751451422716
8305,MALE,MALE,0.9171070802113903
8851,MALE,MALE,0.7717533043093447
9990,MALE,MALE,0.6237728051821378
8640,FEMALE,FEMALE,0.478751541032708
8658,FEMALE,FEMALE,0.24695579437650209
9780,MALE,MALE,0.6951822163767903
31,MALE,MALE,0.9797014925373135
10970,MALE,MALE,0.7848843257269941
1904,MALE,MALE,0.9913831622573828
1029,MALE,MALE,0.9924232135600007
874,MALE,MALE,0.9851134853386
3775,MALE,MALE,0.8687844161974086
9161,FEMALE,FEMALE,0.2268544114620571
10039,MALE,MALE,0.6271089455605813
5008,FEMALE,FEMALE,0.4208702344252846
11636,MALE,FEMALE,0.46370103061857754
9297,MALE,MALE,0.8390509830154679
2183,MALE,MALE,0.9656800748271336
8180,FEMALE,FEMALE,0.22877849524458305
8490,MALE,FEMALE,0.39049337910470977
4156,MALE,MALE,0.6042079512676277
2966,FEMALE,MALE,0.562007830934575
1802,MALE,MALE,0.9963410717081426
5928,MALE,MALE,0.7250574729041587
4601,MALE,MALE,0.9741366352848607
1242,MALE,MALE,0.9742247611638978
9961,FEMALE,MALE,0.5917825097525408
7190,FEMALE,FEMALE,0.3568628580475188
8809,MALE,FEMALE,0.38570358857805526
9322,MALE,MALE,0.8509803182916111
1366,MALE,MALE,0.9385274646755484
1866,MALE,MALE,0.9900513397855096
11801,FEMALE,FEMALE,0.2910942042411413
2454,MALE,MALE,0.9213269800470304
9848,MALE,MALE,0.5545327464278128
4962,MALE,MALE,0.7085249105873472
10286,MALE,MALE,0.5907978009068605
8267,FEMALE,FEMALE,0.21619651022794747
8373,FEMALE,FEMALE,0.2931885010082667
9796,MALE,MALE,0.6380103440148539
4484,FEMALE,FEMALE,0.3791246351092502
6959,MALE,FEMALE,0.4143760930894686
7035,FEMALE,FEMALE,0.263979500862852
4620,MALE,MALE,0.989923832100999
9930,MALE,MALE,0.7018586678778846
11742,MALE,MALE,0.582128975233645
9851,FEMALE,FEMALE,0.43780575093067503
4937,MALE,MALE,0.7735390307957367
8174,FEMALE,FEMALE,0.29501090931160784
6468,MALE,MALE,0.6433285681731641
6712,MALE,MALE,0.8879793140281883
11425,FEMALE,FEMALE,0.3105974402662911
9650,MALE,FEMALE,0.49952400029344063
